5 ELECTRICITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 5.1. Fuel Used in electricity generation and electricity supplied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Year,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,
,Quarter,1st quarter,2nd quarter,3rd quarter,4th quarter,1st quarter,2nd quarter,3rd quarter,4th quarter,1st quarter,2nd quarter,3rd quarter,4th quarter,1st quarter,2nd quarter,3rd quarter,4th quarter,1st quarter,2nd quarter,3rd quarter,4th quarter,1st quarter,2nd quarter,3rd quarter,4th quarter,1st quarter,2nd quarter,3rd quarter,4th quarter,1st quarter,2nd quarter,3rd quarter,4th quarter,1st quarter,2nd quarter,3rd quarter,4th quarter,1st quarter,2nd quarter,3rd quarter,4th quarter,1st quarter,2nd quarter,3rd quarter,4th quarter,1st quarter,2nd quarter,3rd quarter,4th quarter,1st quarter,2nd quarter,3rd quarter,4th quarter,1st quarter,2nd quarter,3rd quarter,4th quarter,1st quarter,2nd quarter,3rd quarter,4th quarter,1st quarter,2nd quarter,3rd quarter,4th quarter,1st quarter,2nd quarter,3rd quarter,4th quarter,1st quarter,2nd quarter,3rd quarter,4th quarter ,1st quarter,2nd quarter,3rd quarter,4th quarter,1st quarter,2nd quarter,3rd quarter,4th quarter,1st quarter,2nd quarter,3rd quarter,4th quarter p,
Coal,,33.68 ,27.16 ,25.99 ,30.20 ,29.12 ,21.52 ,21.72 ,28.90 ,31.15 ,25.41 ,24.22 ,33.95 ,39.13 ,27.79 ,24.80 ,33.68 ,35.61 ,23.14 ,23.72 ,36.00 ,38.75 ,28.69 ,25.91 ,38.41 ,39.57 ,24.55 ,24.79 ,36.78 ,40.60 ,26.25 ,21.16 ,40.50 ,47.56 ,28.55 ,26.86 ,38.52 ,37.02 ,24.10 ,25.62 ,42.29 ,33.42 ,26.29 ,22.01 ,36.33 ,37.81 ,19.10 ,15.57 ,25.32 ,30.97 ,18.55 ,18.81 ,33.86 ,33.36 ,18.09 ,18.15 ,33.41 ,39.91 ,29.63 ,27.31,38.67,39.30,27.36,25.19,31.73,32.77,20.96,15.08,26.27,28.04,15.19,12.17,16.58,13.94,4.34,2.57,8.25,9.90,1.46,2.05,7.97,8.26,1.15,1.76,4.80,
Oil,,1.98 ,1.65 ,1.48 ,1.73 ,1.89 ,1.35 ,1.34 ,1.49 ,1.64 ,1.37 ,1.28 ,1.64 ,1.77 ,1.28 ,0.70 ,1.03 ,1.04 ,0.80 ,1.01 ,1.36 ,1.17 ,1.01 ,0.83 ,1.16 ,1.16 ,0.96 ,0.85 ,1.12 ,1.34 ,0.72 ,0.73 ,1.86 ,2.06 ,1.00 ,1.07 ,1.29 ,1.22 ,1.03 ,0.81 ,1.40 ,1.03 ,1.21 ,1.52 ,2.13 ,1.88 ,1.03 ,1.03 ,1.42 ,1.29 ,0.83 ,1.03 ,1.16 ,0.81 ,0.51 ,0.70 ,0.79 ,0.77 ,0.61 ,0.50,0.70,0.47,0.42,0.54,0.44,0.49,0.47,0.41,0.38,0.47,0.38,0.49,0.50,0.30,0.51,0.41,0.49,0.34,0.33,0.42,0.39,0.46,0.28,0.31,0.47,
Gas,,29.71 ,26.38 ,27.55 ,32.64 ,35.98 ,32.00 ,32.84 ,38.85 ,39.96 ,34.63 ,34.03 ,36.27 ,36.66 ,35.10 ,32.17 ,34.80 ,37.47 ,37.81 ,37.00 ,36.60 ,35.96 ,34.39 ,36.67 ,38.11 ,38.45 ,36.96 ,38.50 ,39.82 ,35.74 ,38.86 ,40.05 ,34.56 ,29.98 ,33.69 ,35.36 ,38.73 ,42.82 ,43.47 ,36.55 ,39.55 ,47.61 ,41.93 ,43.28 ,40.17 ,37.27 ,38.11 ,42.07 ,46.01 ,47.33 ,44.68 ,40.11 ,40.34 ,37.59 ,36.25 ,37.92 ,32.05 ,26.71 ,24.77 ,22.54,24.25,26.71,23.70,20.95,22.66,21.31,23.33,28.62,25.74,23.19,23.02,26.06,25.73,33.45,33.82,32.04,41.30,37.25,31.22,29.62,36.15,36.23,31.52,28.52,32.80,
Nuclear,,23.64 ,21.52 ,20.88 ,24.56 ,24.18 ,22.72 ,19.82 ,20.96 ,21.16 ,19.41 ,18.15 ,19.63 ,20.98 ,18.59 ,20.62 ,22.79 ,22.66 ,19.89 ,19.04 ,19.50 ,22.64 ,20.73 ,19.24 ,19.30 ,21.68 ,17.13 ,17.20 ,17.67 ,20.69 ,18.24 ,18.76 ,17.48 ,20.52 ,18.21 ,17.24 ,13.26 ,14.12 ,13.73 ,15.73 ,13.66 ,13.14 ,11.08 ,10.96 ,12.49 ,15.40 ,16.45 ,16.10 ,14.81 ,16.52 ,12.61 ,11.82 ,15.49 ,17.67 ,17.40 ,14.31 ,13.28 ,15.62 ,16.83 ,16.38,15.12,16.61,14.05,16.97,16.50,15.01,15.90,14.22,12.77,16.51,15.37,15.04,16.98,15.75,15.13,17.13,17.14,16.03,16.20,16.51,15.16,15.12,15.10,15.67,13.21,
Hydro (natural flow) ,,1.87 ,0.82 ,0.85 ,1.55 ,1.87 ,1.07 ,0.73 ,1.64 ,2.12 ,0.68 ,0.57 ,1.69 ,1.03 ,0.57 ,0.63 ,1.80 ,1.96 ,1.13 ,0.65 ,1.02 ,0.98 ,0.68 ,0.51 ,1.04 ,1.51 ,0.73 ,0.97 ,1.61 ,1.60 ,0.99 ,0.69 ,1.47 ,1.11 ,0.96 ,0.67 ,1.82 ,1.94 ,0.84 ,0.94 ,1.31 ,1.97 ,0.84 ,0.73 ,1.57 ,1.56 ,0.91 ,1.13 ,1.60 ,0.84 ,0.65 ,0.85 ,1.23 ,1.29 ,1.13 ,1.22 ,2.00 ,1.82 ,0.79 ,1.05,1.63,1.24,0.96,0.74,1.73,2.22,1.10,0.77,1.74,2.00,1.41,1.02,1.82,2.16,0.97,1.19,1.25,1.88,0.90,1.30,1.79,1.57,1.00,0.89,1.95,
Wind and Solar,,0.21 ,0.21 ,0.22 ,0.23 ,0.20 ,0.21 ,0.22 ,0.23 ,0.23 ,0.23 ,0.24 ,0.25 ,0.25 ,0.24 ,0.23 ,0.25 ,0.25 ,0.28 ,0.33 ,0.40 ,0.40 ,0.25 ,0.20 ,0.44 ,0.50 ,0.36 ,0.46 ,0.62 ,0.75 ,0.54 ,0.69 ,0.93 ,1.09 ,0.79 ,1.01 ,1.35 ,1.65 ,0.93 ,1.19 ,1.51 ,2.22 ,1.27 ,1.31 ,2.35 ,2.60 ,1.98 ,2.12 ,2.60 ,2.43 ,1.67 ,2.77 ,3.45 ,3.41 ,3.69 ,3.12 ,5.99 ,5.25 ,4.33 ,4.91,6.71,6.92,7.19,5.59,10.71,11.52,6.60,6.69,11.20,12.78,11.44,9.92,13.68,12.99,11.12,11.93,11.63,14.50,14.80,13.59,18.64,19.18,15.13,15.16,20.57,
"- of which, Offshore",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67 ,0.46 ,0.83 ,1.10 ,1.00 ,1.13 ,1.10 ,1.92 ,1.51 ,1.65 ,1.71,2.74,2.82,2.63,1.98,4.03,4.38,2.09,2.24,4.69,4.68,3.58,3.41,5.76,5.15,3.25,3.58,4.42,5.17,3.99,3.96,7.84,7.92,4.72,5.01,8.85,
Bioenergy,,0.71 ,0.73 ,0.75 ,0.79 ,0.87 ,0.92 ,0.95 ,0.97 ,1.02 ,0.96 ,1.05 ,1.05 ,1.10 ,1.15 ,1.24 ,1.27 ,1.35 ,1.29 ,1.31 ,1.36 ,1.60 ,1.49 ,1.49 ,1.71 ,1.81 ,1.81 ,1.80 ,2.01 ,2.35 ,2.08 ,2.03 ,2.49 ,2.37 ,2.13 ,2.11 ,2.49 ,2.26 ,1.96 ,1.98 ,2.34 ,2.18 ,2.05 ,2.07 ,2.32 ,2.53 ,2.28 ,2.23 ,2.57 ,2.70 ,2.66 ,2.84 ,2.94 ,2.99 ,2.80 ,2.98 ,3.07 ,3.45 ,2.63 ,3.11,3.75,3.58,4.40,3.86,3.83,3.91,4.70,5.12,5.80,6.05,6.10,6.11,7.14,7.45,6.72,5.38,6.62,7.64,6.67,6.61,6.21,6.43,7.52,7.68,8.70,
Pumped storage (net supply),,-0.26 ,-0.23 ,-0.26 ,-0.27 ,-0.28 ,-0.23 ,-0.24 ,-0.22 ,-0.24 ,-0.22 ,-0.20 ,-0.24 ,-0.26 ,-0.16 ,-0.20 ,-0.25 ,-0.24 ,-0.21 ,-0.22 ,-0.23 ,-0.23 ,-0.19 ,-0.25 ,-0.23 ,-0.25 ,-0.21 ,-0.23 ,-0.25 ,-0.24 ,-0.23 ,-0.19 ,-0.27 ,-0.34 ,-0.25 ,-0.31 ,-0.30 ,-0.28 ,-0.28 ,-0.33 ,-0.34 ,-0.29 ,-0.30 ,-0.35 ,-0.35 ,-0.33 ,-0.26 ,-0.29 ,-0.29 ,-0.29 ,-0.27 ,-0.23 ,-0.28 ,-0.26 ,-0.22 ,-0.23 ,-0.24 ,-0.26 ,-0.24 ,-0.25,-0.27,-0.27,-0.26,-0.26,-0.25,-0.26,-0.25,-0.24,-0.26,-0.25,-0.23,-0.25,-0.25,-0.27,-0.26,-0.23,-0.30,-0.29,-0.25,-0.21,-0.25,-0.27,-0.24,-0.20,-0.19,
Other fuels,,1.49 ,0.87 ,0.81 ,0.88 ,1.51 ,0.88 ,0.82 ,0.89 ,1.06 ,1.31 ,0.69 ,1.13 ,0.90 ,0.86 ,0.83 ,0.82 ,0.88 ,0.83 ,0.91 ,0.95 ,0.97 ,0.94 ,0.87 ,0.89 ,0.65 ,0.74 ,0.65 ,0.91 ,0.90 ,0.86 ,0.90 ,0.88 ,0.87 ,0.78 ,0.80 ,0.80 ,0.76 ,0.86 ,0.90 ,0.78 ,0.81 ,0.80 ,0.68 ,0.74 ,0.78 ,0.71 ,0.80 ,0.74 ,0.60 ,0.63 ,0.61 ,0.56 ,0.70 ,0.70 ,0.73 ,0.53 ,0.73 ,0.81 ,0.82,0.82,0.79,0.83,0.78,0.78,0.92,0.88,0.90,0.93,1.11,1.07,1.09,1.03,1.30,1.20,1.25,1.43,1.18,1.19,1.19,1.22,0.94,0.95,0.93,0.99,
Net imports,,4.21 ,3.98 ,0.85 ,3.43 ,3.62 ,3.71 ,3.29 ,3.62 ,3.24 ,3.78 ,3.72 ,3.44 ,3.24 ,2.63 ,2.64 ,1.89 ,1.82 ,2.78 ,0.65 ,3.17 ,0.80 ,0.31 ,-0.22 ,1.28 ,1.29 ,1.69 ,2.05 ,2.46 ,1.40 ,2.13 ,1.94 ,2.85 ,1.40 ,2.86 ,1.62 ,1.63 ,1.12 ,0.89 ,2.66 ,0.54 ,2.42 ,3.56 ,3.72 ,1.33 ,0.57 ,2.78 ,0.81 ,-1.30 ,-1.69 ,1.42 ,2.76 ,0.18 ,1.06 ,1.53 ,2.36 ,1.27 ,1.99 ,3.12 ,4.06,2.70,2.81,3.56,4.65,3.40,4.89,5.08,5.43,5.12,4.96,5.60,5.92,4.62,6.04,5.36,4.74,1.61,2.61,5.25,5.30,1.60,5.38,5.15,4.93,3.65,
Total all generating companies,,97.22 ,83.08 ,79.13 ,95.74 ,98.97 ,84.14 ,81.49 ,97.32 ,101.32 ,87.56 ,83.75 ,98.81 ,104.78 ,88.05 ,83.67 ,98.07 ,102.81 ,87.73 ,84.39 ,100.14 ,103.05 ,88.29 ,85.24 ,102.11 ,106.36 ,84.71 ,87.05 ,102.77 ,105.12 ,90.44 ,86.78 ,102.76 ,106.64 ,88.71 ,86.43 ,99.60 ,102.62 ,87.54 ,86.09 ,103.03 ,104.50 ,88.73 ,85.92 ,99.08 ,100.06 ,83.09 ,81.58 ,93.47 ,100.69 ,83.43 ,81.36 ,98.91 ,98.63 ,81.89 ,81.26 ,92.14 ,95.99 ,83.27 ,80.43,94.08,98.17,82.22,79.02,91.53,92.80,78.77,76.99,89.69,94.85,79.36,77.58,87.83,93.10,78.91,76.42,89.41,91.03,77.78,76.38,88.86,93.31,77.56,75.65,86.95,
