,2010 Q1,2010 Q2,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4
Onshore Wind,"3,913 ","3,920 ","4,035 ","4,080 ","4,176 ","4,345 ","4,524 ","4,758 ","5,102 ","5,429 ","5,765 ","6,035 "," 6,737 "," 7,072 "," 7,424 "," 7,586 "," 7,668 "," 7,998 "," 8,281 "," 8,573 "," 8,689 "," 8,792 "," 9,003 "," 9,212 "," 9,445 "," 9,600 "," 10,236 "," 10,880 "," 11,781 "," 12,063 "," 12,556 "," 12,798 "," 12,869 "," 12,985 "," 13,160 "," 13,529 "
Offshore Wind,951 ,"1,041 ","1,341 ","1,341 ","1,427 ","1,564 ","1,650 ","1,838 ","2,200 ","2,516 ","2,682 ","2,995 "," 3,381 "," 3,543 "," 3,656 "," 3,696 "," 3,764 "," 4,085 "," 4,426 "," 4,501 "," 4,739 "," 5,014 "," 5,094 "," 5,093 "," 5,095 "," 5,095 "," 5,095 "," 5,293 "," 5,455 "," 5,653 "," 6,101 "," 6,988 "," 7,690 "," 7,844 "," 8,059 "," 8,214 "
Shoreline wave / tidal,4 ,4 ,4 ,4 ,3 ,3 ,4 ,4 ,5 ,7 ,7 ,9 , 7 , 7 , 8 , 8 , 7 , 8 , 8 , 9 , 9 , 9 , 9 , 9 , 8 , 8 , 8 , 13 , 18 , 18 , 18 , 18 , 18 , 20 , 20 , 20 
Solar photovoltaics,35 ,48 ,67 ,95 ,137 ,214 ,492 ,"1,000 ","1,310 ","1,428 ","1,657 ","1,754 "," 2,287 "," 2,535 "," 2,677 "," 2,937 "," 4,984 "," 5,152 "," 5,317 "," 5,528 "," 7,917 "," 8,239 "," 8,630 "," 9,601 "," 10,994 "," 11,467 "," 11,748 "," 11,912 "," 12,263 "," 12,442 "," 12,568 "," 12,776 "," 12,804 "," 12,987 "," 13,035 "," 13,098 "
Small scale Hydro,182 ,185 ,186 ,188 ,191 ,195 ,198 ,202 ,204 ,210 ,211 ,216 , 217 , 222 , 225 , 232 , 240 , 242 , 246 , 253 , 261 , 267 , 272 , 300 , 307 , 311 , 343 , 359 , 361 , 366 , 406 , 396 , 399 , 399 , 400 , 400 
Large scale Hydro,"1,459 ","1,459 ","1,459 ","1,459 ","1,477 ","1,477 ","1,477 ","1,477 ","1,477 ","1,477 ","1,477 ","1,477 "," 1,477 "," 1,477 "," 1,477 "," 1,477 "," 1,477 "," 1,477 "," 1,477 "," 1,477 "," 1,477 "," 1,477 "," 1,477 "," 1,477 "," 1,477 "," 1,477 "," 1,477 "," 1,477 "," 1,479 "," 1,479 "," 1,479 "," 1,479 "," 1,479 "," 1,479 "," 1,479 "," 1,479 "
Landfill gas ,"1,011 ","1,019 ","1,021 ","1,021 ","1,053 ","1,053 ","1,053 ","1,053 ","1,039 ","1,039 ","1,041 ","1,042 "," 1,050 "," 1,050 "," 1,050 "," 1,050 "," 1,053 "," 1,054 "," 1,057 "," 1,058 "," 1,061 "," 1,061 "," 1,061 "," 1,061 "," 1,062 "," 1,062 "," 1,062 "," 1,062 "," 1,066 "," 1,066 "," 1,066 "," 1,066 "," 1,067 "," 1,067 "," 1,067 "," 1,067 "
Sewage sludge digestion,184 ,186 ,186 ,193 ,194 ,198 ,199 ,199 ,206 ,206 ,212 ,212 , 197 , 199 , 201 , 201 , 215 , 224 , 225 , 230 , 231 , 231 , 231 , 231 , 257 , 257 , 257 , 257 , 245 , 245 , 245 , 245 , 246 , 246 , 246 , 246 
Energy from waste,413 ,413 ,413 ,413 ,422 ,422 ,422 ,502 ,499 ,499 ,499 ,513 , 538 , 545 , 545 , 545 , 595 , 621 , 629 , 680 , 830 , 839 , 907 , 930 , 929 , 939 , 988 ," 1,028 "," 1,077 "," 1,077 "," 1,077 "," 1,091 "," 1,120 "," 1,120 "," 1,120 "," 1,120 "
Animal Biomass (non-AD) 2,111 ,111 ,111 ,111 ,111 ,111 ,111 ,111 ,111 ,111 ,111 ,111 , 111 , 111 , 111 , 111 , 111 , 111 , 111 , 111 , 111 , 111 , 111 , 111 , 129 , 129 , 129 , 129 , 129 , 129 , 129 , 129 , 129 , 129 , 129 , 129 
Anaerobic Digestion,27 ,27 ,30 ,30 ,42 ,46 ,60 ,74 ,77 ,90 ,99 ,121 , 127 , 133 , 141 , 163 , 191 , 196 , 210 , 243 , 266 , 269 , 302 , 336 , 362 , 368 , 385 , 426 , 445 , 448 , 449 , 460 , 425 , 426 , 426 , 426 
Plant Biomass 3,319 ,319 ,319 ,321 ,321 ,321 ,324 ,"1,164 ","1,148 ","1,153 ","1,156 ","1,166 "," 2,124 "," 2,773 "," 1,955 "," 1,955 "," 2,043 "," 2,169 "," 2,255 "," 2,258 "," 2,294 "," 2,295 "," 2,961 "," 2,604 "," 2,788 "," 2,788 "," 2,798 "," 2,852 "," 3,003 "," 3,055 "," 3,055 "," 3,055 "," 3,311 "," 3,333 "," 4,275 "," 4,697 "
Total,"8,609 ","8,732 ","9,172 ","9,256 ","9,554 ","9,948 ","10,513 ","12,382 ","13,377 ","14,165 ","14,916 ","15,649 ","18,252 ","19,668 ","19,471 ","19,961 ","22,347 ","23,336 ","24,240 ","24,920 ","27,884 ","28,604 ","30,058 ","30,966 ","32,852 ","33,502 ","34,526 ","35,690 ","37,323 ","38,042 ","39,151 ","40,502 ","41,557 ","42,036 ","43,416 ","44,427 "
Co-firing 4,278 ,278 ,278 ,278 ,353 ,353 ,353 ,353 ,208 ,208 ,208 ,208 ,39 ,39 ,39 ,39 ,14 ,14 ,14 ,14 ,21 ,21 ,21 ,21 ,13 ,13 ,13 ,13 ,9 ,9 ,9 ,9 ,16 ,16 ,16 ,17 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
